,"Month, Year",HM-NE,CF-NE,FF-NE,HM-SW,CF-SW,FF-SW,HM-NW,CF-NW,FF-NW,HM-SE,CF-SE,FF-SE,HM-C,CF-C,FF-C,NE-Total,SW-Total,NW-Total,SE-Total,C-Total,Total-Sales,HM-Total,CF-Total,FF-Total
0,Jan-16,1140955,494802,285238,1124565,468568,281141,1111618,482079,277904,1095034,456264,273758,1126476,450958,281619,1920995,1874274,1871601,1825056,1859053,9350979,5598648,2352671,1399660
1,Feb-16,1175529,489804,293882,1200559,480616,288369,1188037,475603,297009,1167009,486254,280311,1109076,462115,288586,1959215,1969544,1960649,1933574,1859777,9682759,5840210,2394392,1448157
2,Mar-16,1235995,494802,296881,1220454,508522,293148,1151657,499443,287914,1133899,472458,295045,1167894,486622,280523,2027678,2022124,1939014,1901402,1935039,9825257,5909899,2461847,1453511
3,Apr-16,1186592,514593,296648,1213616,485843,291505,1149180,498369,299021,1133767,491684,283441,1116560,465233,290533,1997833,1990964,1946570,1908892,1872326,9716585,5799715,2455722,1461148
4,May-16,1272450,530187,305637,1249686,520702,312421,1187579,494824,296894,1215080,506283,291857,1155612,481505,300695,2108274,2082809,1979297,2013220,1937812,10121412,6080407,2533501,1507504
5,Jun-16,1235025,535597,321358,1213908,505795,303477,1239785,496319,297791,1217717,487485,292491,1149673,479030,299149,2091980,2023180,2033895,1997693,1927852,10074600,6056108,2504226,1514266
6,Jul-16,1284426,535177,321106,1269486,508209,317371,1202069,500862,312783,1186438,494349,296609,1220954,508730,305238,2140709,2095066,2015714,1977396,2034922,10263807,6163373,2547327,1553107
7,Aug-16,1323348,551395,330837,1358134,565889,326218,1283993,534997,320998,1319163,528096,316857,1252825,543317,325990,2205580,2250241,2139988,2164116,2122132,10882057,6537463,2723694,1620900
8,Sep-16,1284426,535177,334213,1268860,528691,330162,1295077,518454,311072,1279199,532999,319799,1255322,502539,313830,2153816,2127713,2124603,2131997,2071691,10609820,6382884,2617860,1609076
9,Oct-16,1280303,555233,333140,1315120,526477,328780,1301675,521095,312657,1233342,534868,320920,1213425,526230,315738,2168676,2170377,2135427,2089130,2055393,10619003,6343865,2663903,1611235
10,Nov-16,1319100,572058,343235,1348519,561883,337129,1276693,553667,332200,1257908,545521,327313,1288024,515630,322006,2234393,2247531,2162560,2130742,2125660,10900886,6490244,2748759,1661883
11,Dec-16,1280303,533459,320075,1306490,523023,313813,1287225,515310,309186,1266216,527590,316554,1199842,499934,299960,2133837,2143326,2111721,2110360,1999736,10498980,6340076,2599316,1559588
12,Jan-17,1381012,575421,345253,1356550,565229,339137,1341018,558757,348938,1316604,570976,329151,1290590,537745,335816,2301686,2260916,2248713,2216731,2164151,11192197,6685774,2808128,1698295
13,Feb-17,1480936,617056,355715,1451591,604829,362897,1428344,571804,357086,1405780,562771,337662,1386331,554985,346582,2453707,2419317,2357234,2306213,2287898,11824369,7152982,2911445,1759942
14,Mar-17,1381012,598908,359344,1358087,588966,353379,1393347,557794,348336,1378270,574279,331055,1307257,566922,340153,2339264,2300432,2299477,2283604,2214332,11437109,6817973,2886869,1732267
15,Apr-17,1429463,572252,357365,1411049,564881,352762,1329007,576355,332251,1358906,544006,339726,1335282,556367,333820,2359080,2328692,2237613,2242638,2225469,11393492,6863707,2813861,1715924
16,May-17,1472779,589593,353755,1395077,581282,363004,1367489,593043,341872,1347357,561398,350587,1381392,553008,345348,2416127,2339363,2302404,2259342,2279748,11596984,6964094,2878324,1754566
17,Jun-17,1487808,619920,357365,1471677,589151,353491,1442457,601024,346472,1420841,568801,341280,1344775,583193,349916,2465093,2414319,2389953,2330922,2277884,11878171,7167558,2962089,1748524
18,Jul-17,1419956,615797,354989,1391670,603530,362118,1367838,593195,341959,1343314,582559,349535,1318052,549188,342962,2390742,2357318,2302992,2275408,2210202,11536662,6840830,2944269,1751563
19,Aug-17,1522698,634457,380674,1560316,650131,374781,1536702,640292,384175,1447084,627562,376537,1431076,620620,372372,2537829,2585228,2561169,2451183,2424068,12559477,7497876,3173062,1888539
20,Sep-17,1538236,615797,369478,1462819,634386,365704,1433985,597493,373128,1467806,611586,352561,1450080,604200,348303,2523511,2462909,2404606,2431953,2402583,12225562,7352926,3063462,1809174
21,Oct-17,1466507,611044,366626,1448688,603620,376954,1478973,592072,355243,1401670,607867,350417,1374453,572688,357638,2444177,2429262,2426288,2359954,2304779,11964460,7170291,2987291,1806878
